Distance_(microns),Gray_Value
127.192,30.0618
127.552,31.7733
127.913,35.0311
128.273,38.4257
128.633,40.2705
128.994,41.0075
129.354,42.2564
129.714,43.3132
130.075,41.5990
130.435,40.4229
130.795,37.6816
131.156,36.7089
131.516,37.2180
131.876,35.8578
132.237,31.9145
132.597,29.9334
132.957,28.6378
133.317,28.9074
133.678,29.5836
134.038,30.2819
134.398,30.5774
134.759,30.6316
135.119,29.0569
135.479,28.4694
135.840,27.5779
136.200,27.7720
136.560,27.9995
136.921,28.0052
137.281,29.8603
137.641,30.6273
138.002,30.9915
138.362,31.1313
138.722,31.2348
139.083,29.9690
139.443,28.3186
139.803,28.3923
140.163,28.8441
140.524,29.3487
140.884,30.3311
141.244,31.6937
141.605,32.7646
141.965,32.8373
142.325,32.8052
142.686,32.5110
143.046,31.6887
143.406,31.0020
143.767,30.3896
144.127,29.0368
144.487,29.6805
144.848,29.4473
145.208,28.4233
145.568,30.6074
145.929,31.5036
146.289,31.7968
146.649,32.7297
147.010,33.2923
147.370,33.7338
147.730,34.0402
148.090,34.5722
148.451,36.6260
148.811,37.5708
149.171,40.7309
149.532,42.6507
149.892,43.4946
150.252,44.1046
150.613,43.9951
150.973,43.8391
151.333,42.4287
151.694,41.0066
152.054,39.2090
152.414,38.4746
152.775,37.4374
153.135,38.6187
153.495,39.2824
153.856,40.4352
154.216,42.2731
154.576,44.1477
154.937,45.7901
155.297,45.6385
155.657,44.9152
156.017,43.5914
156.378,42.7239
156.738,41.6620
157.098,40.9951
157.459,39.9292
157.819,38.3080
158.179,36.5081
158.540,34.2934
158.900,32.6371
159.260,31.8059
159.621,31.1957
159.981,29.5271
160.341,29.6860
160.702,29.8460
161.062,28.4563
161.422,28.9411
161.783,29.2917
162.143,30.7612
162.503,32.4030
162.863,32.6332
163.224,33.4050
163.584,34.7515
163.944,36.6758
164.305,38.7741
164.665,40.2896
165.025,43.4959
165.386,45.9227
165.746,46.7763
166.106,48.8489
166.467,52.0638
166.827,53.3761
167.187,52.0096
167.548,50.2813
167.908,48.3224
168.268,45.7844
168.629,44.6768
168.989,43.7157
169.349,43.0125
169.710,43.8810
170.070,42.4422
170.430,42.7617
170.790,43.0441
171.151,43.9907
171.511,44.8023
171.871,46.3097
172.232,47.1576
172.592,47.3474
172.952,46.4223
173.313,47.5059
173.673,47.6325
174.033,49.5612
174.394,51.7705
174.754,54.2940
175.114,56.7176
175.475,57.7143
175.835,60.0481
176.195,62.0559
176.556,63.3108
176.916,62.2263
177.276,61.4163
177.637,57.9661
177.997,53.1836
178.357,48.7984
178.717,45.4249
179.078,43.5539
179.438,43.9561
179.798,43.0155
180.159,42.5863
180.519,44.0223
180.879,44.3966
181.240,44.8725
181.600,44.6214
181.960,44.9077
182.321,44.7631
182.681,44.4983
183.041,44.3326
183.402,42.9107
183.762,44.5797
184.122,44.7031
184.483,46.2139
184.843,47.3211
185.203,48.6002
185.563,51.0016
185.924,54.2080
186.284,53.8569
186.644,53.7892
187.005,50.9539
187.365,50.4419
187.725,48.4350
188.086,47.5514
188.446,48.1304
188.806,48.4483
189.167,51.4314
189.527,52.9323
189.887,54.4638
190.248,55.6638
190.608,55.4208
190.968,52.6197
191.329,51.0412
191.689,50.9053
192.049,51.4947
192.410,50.7532
192.770,51.0588
193.130,52.8865
193.490,52.4112
193.851,53.4179
194.211,55.9141
194.571,56.9965
194.932,58.4674
195.292,58.3600
195.652,59.1255
196.013,56.8864
196.373,55.5396
196.733,54.0327
197.094,52.3098
197.454,50.5479
197.814,50.5533
198.175,49.2714
198.535,48.1809
198.895,47.5866
199.256,48.8570
199.616,50.2665
199.976,51.9808
200.337,51.9588
200.697,53.2040
201.057,53.4355
201.417,53.6098
201.778,54.8498
202.138,54.6221
202.498,53.8587
202.859,50.3670
203.219,47.7608
203.579,47.6929
203.940,48.3720
204.300,50.6446
204.660,51.1393
205.021,51.8469
205.381,52.5157
205.741,49.0065
206.102,48.0354
206.462,47.7663
206.822,47.3634
207.183,47.3583
207.543,47.5972
207.903,49.1828
208.263,51.4892
208.624,52.5555
208.984,51.2148
209.344,47.0010
209.705,43.7338
210.065,41.7760
210.425,41.7015
210.786,42.3269
211.146,42.6120
211.506,45.1681
211.867,49.0590
212.227,49.5283
212.587,50.1231
212.948,50.0950
213.308,49.7780
213.668,48.1769
214.029,46.3365
214.389,44.2457
214.749,42.4505
215.110,42.8717
215.470,41.9624
215.830,42.1354
216.190,41.9111
216.551,43.8850
216.911,46.1892
217.271,47.5620
217.632,49.2026
217.992,50.9288
218.352,50.9794
218.713,50.7864
219.073,50.0374
219.433,49.9106
219.794,49.3791
220.154,48.6627
220.514,48.0958
220.875,48.9537
221.235,51.2545
221.595,52.8133
221.956,52.4715
222.316,49.9482
222.676,48.0434
223.037,47.0794
223.397,46.3855
223.757,44.5677
224.117,43.0930
224.478,42.1925
224.838,42.2797
225.198,44.2863
225.559,46.1657
225.919,48.3279
226.279,49.2384
226.640,50.5107
227.000,50.5148
227.360,50.6010
227.721,50.5133
228.081,50.3038
228.441,48.8286
228.802,49.2702
229.162,47.9563
229.522,48.1480
229.883,49.0762
230.243,51.5191
230.603,55.7239
230.963,58.3993
231.324,59.5105
231.684,57.9734
232.044,56.3803
232.405,55.1594
232.765,53.6806
233.125,51.6231
233.486,51.1811
233.846,50.0613
234.206,49.2926
234.567,50.2451
234.927,51.6619
235.287,52.9833
235.648,54.1691
236.008,54.4985
236.368,54.5844
236.729,53.6289
237.089,50.9055
237.449,47.1600
237.810,42.8752
238.170,39.2181
238.530,37.3618
