Distance_(microns),Gray_Value
127.192,36.4745
127.552,36.6227
127.913,37.0046
128.273,38.4892
128.633,38.3617
128.994,38.1117
129.354,38.6283
129.714,38.6667
130.075,38.1091
130.435,38.0360
130.795,36.8596
131.156,36.6227
131.516,36.8556
131.876,36.6547
132.237,36.7514
132.597,36.1801
132.957,35.4102
133.317,34.0601
133.678,34.2495
134.038,34.0135
134.398,32.8909
134.759,32.1429
135.119,31.0058
135.479,31.9629
135.840,31.2620
136.200,31.3151
136.560,31.2581
136.921,32.2762
137.281,31.1812
137.641,30.7982
138.002,31.1933
138.362,31.3098
138.722,32.5856
139.083,32.4603
139.443,32.4001
139.803,31.6773
140.163,31.4119
140.524,31.5508
140.884,32.7704
141.244,33.8789
141.605,35.0090
141.965,34.7787
142.325,36.2336
142.686,36.2966
143.046,36.3395
143.406,36.1747
143.767,36.2633
144.127,36.6492
144.487,35.4958
144.848,35.9645
145.208,36.3286
145.568,38.5474
145.929,37.7630
146.289,39.7600
146.649,39.6012
147.010,38.9614
147.370,39.1229
147.730,39.6394
148.090,39.2164
148.451,40.2864
148.811,39.4764
149.171,39.0452
149.532,39.3713
149.892,40.4263
150.252,40.4645
150.613,40.9794
150.973,41.5485
151.333,41.5947
151.694,42.4242
152.054,42.0318
152.414,41.2195
152.775,40.3482
153.135,40.9115
153.495,40.7660
153.856,40.9498
154.216,40.1586
154.576,40.5479
154.937,41.3148
155.297,40.9398
155.657,42.3317
156.017,43.3463
156.378,42.8505
156.738,42.3087
157.098,42.8287
157.459,42.0000
157.819,41.5709
158.179,41.2381
158.540,41.6483
158.900,40.8103
159.260,39.6134
159.621,39.2756
159.981,38.5281
160.341,38.8670
160.702,38.5071
161.062,36.6144
161.422,38.7767
161.783,39.3176
162.143,38.8072
162.503,38.6594
162.863,37.4046
163.224,38.8391
163.584,39.3895
163.944,39.1308
164.305,39.0900
164.665,39.6686
165.025,39.7855
165.386,41.4851
165.746,42.6234
166.106,43.3949
166.467,43.6518
166.827,42.8203
167.187,43.1745
167.548,42.5232
167.908,43.3818
168.268,42.1957
168.629,41.3013
168.989,41.1151
169.349,41.8327
169.710,40.4523
170.070,39.4695
170.430,39.3311
170.790,38.8951
171.151,39.7889
171.511,38.9994
171.871,39.0448
172.232,39.0343
172.592,39.6547
172.952,40.2822
173.313,41.1869
173.673,41.1610
174.033,41.8068
174.394,42.5553
174.754,43.1515
175.114,44.2986
175.475,45.2564
175.835,44.5833
176.195,45.1603
176.556,45.5318
176.916,46.3458
177.276,47.3167
177.637,47.0260
177.997,46.6475
178.357,47.0481
178.717,48.0636
179.078,47.1736
179.438,44.6495
179.798,42.7469
180.159,41.5068
180.519,41.5943
180.879,41.6992
181.240,40.9012
181.600,41.7006
181.960,42.1237
182.321,41.9384
182.681,40.7421
183.041,40.4385
183.402,40.4449
183.762,41.7338
184.122,41.9313
184.483,42.7035
184.843,42.8676
185.203,41.4867
185.563,42.5986
185.924,42.8989
186.284,43.1459
186.644,42.9976
187.005,43.0687
187.365,43.4365
187.725,42.9560
188.086,43.4048
188.446,44.1257
188.806,44.3734
189.167,44.1725
189.527,44.0880
189.887,44.0865
190.248,44.8769
190.608,46.5264
190.968,46.3409
191.329,45.7599
191.689,46.3832
192.049,46.2944
192.410,46.5867
192.770,46.6809
193.130,46.5953
193.490,45.5307
193.851,45.0306
194.211,44.7210
194.571,45.5844
194.932,45.8544
195.292,46.9630
195.652,46.1097
196.013,45.0863
196.373,46.0171
196.733,46.4401
197.094,45.5654
197.454,45.8003
197.814,45.1847
198.175,44.7796
198.535,44.3676
198.895,44.0631
199.256,43.5277
199.616,43.8917
199.976,46.1797
200.337,45.6072
200.697,44.8328
201.057,44.4517
201.417,44.1608
201.778,45.0262
202.138,45.2230
202.498,45.6792
202.859,46.4036
203.219,46.2260
203.579,45.7049
203.940,45.2068
204.300,44.7977
204.660,45.1889
205.021,46.0286
205.381,46.4009
205.741,47.0410
