Distance_(microns),Gray_Value
127.192,51.6179
127.552,51.9223
127.913,54.2381
128.273,53.0033
128.633,53.3188
128.994,52.6640
129.354,51.7619
129.714,52.8567
130.075,52.2202
130.435,50.3558
130.795,51.2289
131.156,50.7058
131.516,49.0000
131.876,48.6095
132.237,46.7649
132.597,47.3515
132.957,45.3545
133.317,44.9996
133.678,45.5651
134.038,45.0005
134.398,45.1714
134.759,45.6942
135.119,44.4016
135.479,46.0508
135.840,44.2999
136.200,43.5112
136.560,43.9095
136.921,43.0838
137.281,45.1061
137.641,46.1457
138.002,45.9199
138.362,44.9834
138.722,49.6358
139.083,49.5224
139.443,47.5488
139.803,48.7465
140.163,50.6288
140.524,49.3647
140.884,51.5734
141.244,51.4285
141.605,54.7621
141.965,52.9919
142.325,52.4790
142.686,51.7821
143.046,51.6915
143.406,51.9489
143.767,50.5447
144.127,51.4617
144.487,50.2767
144.848,52.0764
145.208,51.5962
145.568,51.2066
145.929,49.6594
146.289,48.7204
146.649,48.8144
147.010,48.9253
147.370,49.7385
147.730,48.5845
148.090,48.8315
148.451,49.8300
148.811,51.4683
149.171,49.5635
149.532,51.9236
149.892,52.7117
150.252,50.6646
150.613,50.0595
150.973,51.7085
151.333,51.7638
151.694,52.5016
152.054,51.3756
152.414,48.3125
152.775,50.2963
153.135,50.2509
153.495,48.7293
153.856,46.6791
154.216,47.5922
154.576,48.2868
154.937,46.1149
155.297,46.1527
155.657,48.2826
156.017,46.9876
156.378,46.8370
156.738,47.0093
157.098,47.2061
157.459,44.9818
157.819,44.7224
158.179,44.6488
158.540,44.2166
158.900,43.4828
159.260,44.2587
159.621,42.3922
159.981,43.9722
160.341,42.9697
160.702,43.2446
161.062,44.5924
161.422,43.6905
161.783,43.2533
162.143,43.8021
162.503,43.9922
162.863,44.2807
163.224,45.3222
163.584,45.7975
163.944,45.1668
164.305,45.4377
164.665,44.1483
165.025,46.5947
165.386,46.0101
165.746,47.5867
166.106,49.0636
166.467,47.7834
166.827,46.8899
167.187,45.6662
167.548,46.8320
167.908,45.0037
168.268,44.3763
168.629,45.4950
168.989,45.0710
